Pid,Name,Family,Type,Status,Laddr.IP,Laddr.Port,Raddr.IP,Raddr.Port,Timestamp
3128,httpd.exe,IPv4,TCP,LISTEN,0.0.0.0,80,0.0.0.0,0,2026-01-14T14:04:22Z
1632,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,135,0.0.0.0,0,2026-01-14T14:04:18Z
4,System,IPv4,TCP,LISTEN,192.168.56.1,139,0.0.0.0,0,2026-01-20T14:54:23Z
4,System,IPv4,TCP,LISTEN,192.168.79.1,139,0.0.0.0,0,2026-01-20T14:54:23Z
4,System,IPv4,TCP,LISTEN,192.168.79.137,139,0.0.0.0,0,2026-01-20T16:02:31Z
3128,httpd.exe,IPv4,TCP,LISTEN,0.0.0.0,443,0.0.0.0,0,2026-01-14T14:04:22Z
6940,vmware-authd.exe,IPv4,TCP,LISTEN,0.0.0.0,902,0.0.0.0,0,2026-01-14T14:04:21Z
6940,vmware-authd.exe,IPv4,TCP,LISTEN,0.0.0.0,912,0.0.0.0,0,2026-01-14T14:04:21Z
4404,AnyDesk.exe,IPv4,TCP,ESTAB,192.168.79.137,1303,148.113.17.96,443,2026-01-20T16:02:34Z
11720,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,5040,0.0.0.0,0,2026-01-20T16:01:06Z
8552,postgres.exe,IPv4,TCP,LISTEN,0.0.0.0,5432,0.0.0.0,0,2026-01-14T14:04:22Z
4404,AnyDesk.exe,IPv4,TCP,LISTEN,0.0.0.0,7070,0.0.0.0,0,2026-01-14T14:04:24Z
22968,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,8016,2026-01-20T16:06:50Z
22968,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,8018,2026-01-20T16:06:50Z
22968,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,8021,2026-01-20T16:06:50Z
22968,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,8022,2026-01-20T16:06:50Z
22968,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,9715,2026-01-20T16:06:55Z
22968,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,9716,2026-01-20T16:06:55Z
22968,velociraptor.exe,IPv4,TCP,LISTEN,127.0.0.1,8000,0.0.0.0,0,2026-01-20T16:06:50Z
22968,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8001,127.0.0.1,8014,2026-01-20T16:06:50Z
22968,velociraptor.exe,IPv4,TCP,LISTEN,127.0.0.1,8001,0.0.0.0,0,2026-01-20T16:06:50Z
22968,velociraptor.exe,IPv4,TCP,LISTEN,127.0.0.1,8003,0.0.0.0,0,2026-01-20T16:06:50Z
22968,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8014,127.0.0.1,8001,2026-01-20T16:06:50Z
22968,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8016,127.0.0.1,8000,2026-01-20T16:06:50Z
22968,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8018,127.0.0.1,8000,2026-01-20T16:06:50Z
22968,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8021,127.0.0.1,8000,2026-01-20T16:06:50Z
22968,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8022,127.0.0.1,8000,2026-01-20T16:06:50Z
8272,nessusd.exe,IPv4,TCP,LISTEN,0.0.0.0,8834,0.0.0.0,0,2026-01-14T14:04:27Z
22968,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8889,127.0.0.1,41775,2026-01-20T16:07:59Z
22968,velociraptor.exe,IPv4,TCP,LISTEN,127.0.0.1,8889,0.0.0.0,0,2026-01-20T16:06:50Z
22968,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,9715,127.0.0.1,8000,2026-01-20T16:06:55Z
22968,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,9716,127.0.0.1,8000,2026-01-20T16:06:55Z
0,,IPv4,TCP,TIME_WAIT,192.168.79.137,10290,20.44.229.112,443,1601-01-01T00:00:00Z
24472,svchost.exe,IPv4,TCP,ESTAB,192.168.79.137,10306,20.190.146.34,443,2026-01-20T16:06:52Z
11340,Postman Agent.exe,IPv4,TCP,LISTEN,127.0.0.1,10533,0.0.0.0,0,2026-01-20T14:56:50Z
24472,svchost.exe,IPv4,TCP,ESTAB,192.168.79.137,11702,20.190.146.34,443,2026-01-20T16:06:52Z
24472,svchost.exe,IPv4,TCP,ESTAB,192.168.79.137,11703,20.190.146.34,443,2026-01-20T16:06:52Z
22824,chrome.exe,IPv4,TCP,ESTAB,192.168.79.137,11730,192.168.79.13,53,2026-01-20T16:07:56Z
22824,chrome.exe,IPv4,TCP,ESTAB,192.168.79.137,11839,192.168.79.13,53,2026-01-20T16:08:00Z
4916,msedge.exe,IPv4,TCP,ESTAB,192.168.79.137,12840,172.188.155.25,443,2026-01-20T16:06:54Z
24472,svchost.exe,IPv4,TCP,ESTAB,192.168.79.137,12841,20.190.146.34,443,2026-01-20T16:06:54Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,19437,127.0.0.1,8889,1601-01-01T00:00:00Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,22943,127.0.0.1,49350,1601-01-01T00:00:00Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,22944,127.0.0.1,49350,1601-01-01T00:00:00Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,22945,127.0.0.1,49350,1601-01-01T00:00:00Z
3900,ipfsvc.exe,IPv4,TCP,ESTAB,127.0.0.1,24916,127.0.0.1,24917,2026-01-14T14:42:04Z
3900,ipfsvc.exe,IPv4,TCP,ESTAB,127.0.0.1,24917,127.0.0.1,24916,2026-01-14T14:42:04Z
4,System,IPv4,TCP,LISTEN,127.0.0.1,28385,0.0.0.0,0,2026-01-14T14:04:23Z
4,System,IPv4,TCP,LISTEN,127.0.0.1,28390,0.0.0.0,0,2026-01-14T14:04:23Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,29616,127.0.0.1,8889,1601-01-01T00:00:00Z
22824,chrome.exe,IPv4,TCP,FIN_WAIT2,192.168.79.137,32557,192.168.79.13,53,2026-01-20T16:07:56Z
10796,svchost.exe,IPv4,TCP,ESTAB,192.168.79.137,32559,93.123.11.62,80,2026-01-20T16:07:56Z
22824,chrome.exe,IPv4,TCP,ESTAB,192.168.79.137,34697,192.168.79.13,53,2026-01-20T16:07:58Z
14748,OneDrive.exe,IPv4,TCP,ESTAB,192.168.79.137,35285,13.107.137.11,443,2026-01-20T16:07:52Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,35288,127.0.0.1,49350,1601-01-01T00:00:00Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,35289,127.0.0.1,49350,1601-01-01T00:00:00Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,35290,127.0.0.1,49350,1601-01-01T00:00:00Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,35291,127.0.0.1,49350,1601-01-01T00:00:00Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,35292,127.0.0.1,49350,1601-01-01T00:00:00Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,35293,127.0.0.1,49350,1601-01-01T00:00:00Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,35294,127.0.0.1,49350,1601-01-01T00:00:00Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,35295,127.0.0.1,49350,1601-01-01T00:00:00Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,35296,127.0.0.1,49350,1601-01-01T00:00:00Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,35464,127.0.0.1,49350,1601-01-01T00:00:00Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,35465,127.0.0.1,49350,1601-01-01T00:00:00Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,38812,127.0.0.1,49350,1601-01-01T00:00:00Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,41184,127.0.0.1,49350,1601-01-01T00:00:00Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,41185,127.0.0.1,49350,1601-01-01T00:00:00Z
4916,msedge.exe,IPv4,TCP,ESTAB,127.0.0.1,41775,127.0.0.1,8889,2026-01-20T16:07:59Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,41776,127.0.0.1,49350,1601-01-01T00:00:00Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,41777,127.0.0.1,49350,1601-01-01T00:00:00Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,41778,127.0.0.1,49350,1601-01-01T00:00:00Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,41779,127.0.0.1,49350,1601-01-01T00:00:00Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,41780,127.0.0.1,49350,1601-01-01T00:00:00Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,41781,127.0.0.1,49350,1601-01-01T00:00:00Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,41783,127.0.0.1,49350,1601-01-01T00:00:00Z
22824,chrome.exe,IPv4,TCP,ESTAB,192.168.79.137,43435,192.168.79.13,53,2026-01-20T16:07:56Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,44815,127.0.0.1,8889,1601-01-01T00:00:00Z
22824,chrome.exe,IPv4,TCP,ESTAB,192.168.79.137,44877,3.7.13.58,443,2026-01-20T16:02:45Z
18664,figma_agent.exe,IPv4,TCP,LISTEN,127.0.0.1,44950,0.0.0.0,0,2026-01-20T14:56:15Z
18664,figma_agent.exe,IPv4,TCP,LISTEN,127.0.0.1,44960,0.0.0.0,0,2026-01-20T14:56:15Z
22824,chrome.exe,IPv4,TCP,ESTAB,192.168.79.137,45568,142.251.12.188,5228,2026-01-20T16:02:42Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,46778,127.0.0.1,8889,1601-01-01T00:00:00Z
1920,esrv_svc.exe,IPv4,TCP,LISTEN,127.0.0.1,49350,0.0.0.0,0,2026-01-20T06:50:12Z
16064,esrv.exe,IPv4,TCP,LISTEN,127.0.0.1,49351,0.0.0.0,0,2026-01-20T14:54:28Z
1316,lsass.exe,IPv4,TCP,LISTEN,0.0.0.0,49664,0.0.0.0,0,2026-01-14T14:04:18Z
1144,wininit.exe,IPv4,TCP,LISTEN,0.0.0.0,49665,0.0.0.0,0,2026-01-14T14:04:18Z
2160,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,49668,0.0.0.0,0,2026-01-14T14:04:19Z
3344,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,49669,0.0.0.0,0,2026-01-14T14:04:19Z
5712,spoolsv.exe,IPv4,TCP,LISTEN,0.0.0.0,49672,0.0.0.0,0,2026-01-14T14:04:20Z
8272,nessusd.exe,IPv4,TCP,ESTAB,127.0.0.1,49704,127.0.0.1,49705,2026-01-14T14:04:23Z
8272,nessusd.exe,IPv4,TCP,ESTAB,127.0.0.1,49705,127.0.0.1,49704,2026-01-14T14:04:23Z
1860,WUDFHost.exe,IPv4,TCP,ESTAB,127.0.0.1,49708,127.0.0.1,49709,2026-01-14T14:04:23Z
1860,WUDFHost.exe,IPv4,TCP,ESTAB,127.0.0.1,49709,127.0.0.1,49708,2026-01-14T14:04:23Z
1928,WUDFHost.exe,IPv4,TCP,ESTAB,127.0.0.1,49711,127.0.0.1,49712,2026-01-14T14:04:24Z
1928,WUDFHost.exe,IPv4,TCP,ESTAB,127.0.0.1,49712,127.0.0.1,49711,2026-01-14T14:04:24Z
1288,services.exe,IPv4,TCP,LISTEN,0.0.0.0,49713,0.0.0.0,0,2026-01-14T14:04:27Z
8272,nessusd.exe,IPv4,TCP,ESTAB,127.0.0.1,49716,127.0.0.1,49717,2026-01-14T14:04:29Z
8272,nessusd.exe,IPv4,TCP,ESTAB,127.0.0.1,49717,127.0.0.1,49716,2026-01-14T14:04:29Z
5296,AdskLicensingService.exe,IPv4,TCP,LISTEN,127.0.0.1,50350,0.0.0.0,0,2026-01-14T14:04:22Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,53197,127.0.0.1,49350,1601-01-01T00:00:00Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,53198,127.0.0.1,49350,1601-01-01T00:00:00Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,53199,127.0.0.1,49350,1601-01-01T00:00:00Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,53200,127.0.0.1,49350,1601-01-01T00:00:00Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,53201,127.0.0.1,49350,1601-01-01T00:00:00Z
4260,wazuh-agent.exe,IPv4,TCP,SENT,192.168.79.137,57081,192.168.56.101,1515,2026-01-20T16:07:49Z
22824,chrome.exe,IPv4,TCP,FIN_WAIT2,192.168.79.137,62542,192.168.79.13,53,2026-01-20T16:07:58Z
0,,IPv4,TCP,TIME_WAIT,192.168.79.137,64678,18.161.216.23,443,1601-01-01T00:00:00Z
4,System,IPv4,TCP,LISTEN,0.0.0.0,445,0.0.0.0,0,2026-01-14T14:04:21Z
6340,mysqld.exe,IPv4,TCP,LISTEN,0.0.0.0,3306,0.0.0.0,0,2026-01-14T14:04:21Z
8360,lmgrd.exe,IPv4,TCP,LISTEN,0.0.0.0,27080,0.0.0.0,0,2026-01-14T14:04:21Z
3128,httpd.exe,IPv6,TCP,LISTEN,::,80,::,0,2026-01-14T14:04:22Z
1632,svchost.exe,IPv6,TCP,LISTEN,::,135,::,0,2026-01-14T14:04:18Z
3128,httpd.exe,IPv6,TCP,LISTEN,::,443,::,0,2026-01-14T14:04:22Z
4,System,IPv6,TCP,LISTEN,::,445,::,0,2026-01-14T14:04:21Z
6340,mysqld.exe,IPv6,TCP,LISTEN,::,3306,::,0,2026-01-14T14:04:21Z
8552,postgres.exe,IPv6,TCP,LISTEN,::,5432,::,0,2026-01-14T14:04:22Z
4404,AnyDesk.exe,IPv6,TCP,LISTEN,::,7070,::,0,2026-01-14T14:04:24Z
0,,IPv6,TCP,TIME_WAIT,2401:4900:16fd:f33f:adf1:bd92:77e1:d3bb,7473,2620:1ec:bdf::58,443,1601-01-01T00:00:00Z
14748,OneDrive.exe,IPv6,TCP,ESTAB,2401:4900:16fd:f33f:adf1:bd92:77e1:d3bb,8024,2603:1040:a06:6::,443,2026-01-20T16:06:51Z
